"diversity_shannon","observed","chao1","PD","SR","sampleID","seqID","Mouse","Treatment","Diet","Cage","Desc","Day","Rec_day","Rec_day_adj","Sac.group","Aim","Cohort","reads.in","reads.out","nseqs","seq_run","Abx","Post.diet","Post.micr","Pre.diet"
3.90786704202793,219,220,15.433501778,219,"HF5920","MMF.16S.210_HF5920","2035","WD-DIET","WD","4E","baseline",21,-31,-31,NA,"A2","C4",79886,64082,50946,"Mar_2022","ABX","RC","WD","WD"
4.01030732392469,199,200,14.412926902,199,"HF5921","MMF.16S.210_HF5921","2036","WD-RC","WD","4E","baseline",21,-31,-31,NA,"A2","C4",50202,43370,31455,"Mar_2022","ABX","RC","RC","WD"
3.51657305722097,212,212,15.15477238,212,"HF5922","MMF.16S.210_HF5922","2037","WD-WD","WD","4E","baseline",21,-31,-31,NA,"A2","C4",61299,51650,39604,"Mar_2022","ABX","WD","WD","WD"
3.40009524570679,70,70,9.122527343,70,"HF5923","MMF.16S.210_HF5923","2038","WD-DIET","WD","4F","baseline",21,-31,-31,NA,"A2","C4",6746,4329,3480,"Mar_2022","ABX","RC","WD","WD"
3.03883807801788,71,71,8.945728875,71,"HF5924","MMF.16S.210_HF5924","2039","WD-DIET","WD","4E","baseline",21,-31,-31,NA,"A2","C4",11193,9410,7725,"Mar_2022","ABX","RC","WD","WD"
3.4523236183422,134,134.25,12.383709496,134,"HF5950","MMF.16S.210_HF5950","2042","RC-ABX-PBS","RC","4G","pre-abx",49,-3,-3,NA,"A2","C4",26381,21299,16274,"Mar_2022","ABX","RC","PBS","RC"
3.75158947704943,193,193.6,14.307506645,193,"HF5951","MMF.16S.210_HF5951","2044","RC-PBS-PBS","RC","4A","pre-abx",49,-3,-3,NA,"A2","C4",54902,45157,35897,"Mar_2022","PBS","RC","PBS","RC"
3.18175734701894,96,96,10.873961826,96,"HF5952","MMF.16S.210_HF5952","2041","RC-PBS-PBS","RC","4A","pre-abx",49,-3,-3,NA,"A2","C4",21760,18135,15222,"Mar_2022","PBS","RC","PBS","RC"
3.34362115589541,136,136.5,12.94609084,136,"HF5953","MMF.16S.210_HF5953","2040","RC-DIET","RC","4G","pre-abx",49,-3,-3,NA,"A2","C4",17547,14034,12099,"Mar_2022","ABX","WD","RC","RC"
3.52967538653391,192,195.333333333333,14.930846483,192,"HF5954","MMF.16S.210_HF5954","2043","RC-MICR","RC","4G","pre-abx",49,-3,-3,NA,"A2","C4",59200,49553,38019,"Mar_2022","ABX","RC","WD","RC"
2.64428388665571,38,38,6.224406279,38,"HF5955","MMF.16S.210_HF5955","2048","RC-ABX-PBS","RC","4B","pre-abx",49,-3,-3,NA,"A2","C4",4005,3181,2652,"Mar_2022","ABX","RC","PBS","RC"
2.82150038247814,71,71,8.938664356,71,"HF5956","MMF.16S.210_HF5956","2049","RC-DIET","RC","4B","pre-abx",49,-3,-3,NA,"A2","C4",10285,8729,7375,"Mar_2022","ABX","WD","RC","RC"
2.85659576953766,100,100,10.331551357,100,"HF5957","MMF.16S.210_HF5957","2045","RC-MICR","RC","4B","pre-abx",49,-3,-3,NA,"A2","C4",30508,24853,20812,"Mar_2022","ABX","RC","WD","RC"
3.40251195798466,91,94,10.074813235,91,"HF5958","MMF.16S.210_HF5958","2046","RC-WD","RC","4B","pre-abx",49,-3,-3,NA,"A2","C4",10922,8899,7216,"Mar_2022","ABX","WD","WD","RC"
2.53590329307382,68,68,8.339786892,68,"HF5959","MMF.16S.210_HF5959","2030","RC-ABX-PBS","RC","4C","pre-abx",49,-3,-3,NA,"A2","C4",12180,8498,7468,"Mar_2022","ABX","RC","PBS","RC"
3.26131470047305,83,83,9.7261425,83,"HF5960","MMF.16S.210_HF5960","2032","RC-RC","RC","4C","pre-abx",49,-3,-3,NA,"A2","C4",9533,7487,5762,"Mar_2022","ABX","RC","RC","RC"
2.49166588187042,99,99.5,10.087188274,99,"HF5961","MMF.16S.210_HF5961","2034","RC-MICR","RC","4C","pre-abx",49,-3,-3,NA,"A2","C4",31693,26925,23091,"Mar_2022","ABX","RC","WD","RC"
2.80907855476383,141,141.5,13.18583494,141,"HF5962","MMF.16S.210_HF5962","2033","RC-WD","RC","4C","pre-abx",49,-3,-3,NA,"A2","C4",50870,42431,33489,"Mar_2022","ABX","WD","WD","RC"
2.65844285669686,111,111,10.329678576,111,"HF5963","MMF.16S.210_HF5963","2054","WD-ABX-PBS","WD","4E","pre-abx",49,-3,-3,NA,"A2","C4",28444,23574,18867,"Mar_2022","ABX","WD","PBS","WD"
2.04402154305266,76,76,9.228338943,76,"HF5964","MMF.16S.211_HF5964","2052","WD-RC","WD","4F","pre-abx",49,-3,-3,NA,"A2","C4",37036,30503,25965,"Mar_2022","ABX","RC","RC","WD"
2.01934993034085,78,78.5,9.336030845,78,"HF5965","MMF.16S.211_HF5965","2053","WD-PBS-PBS","WD","4D","pre-abx",49,-3,-3,NA,"A2","C4",32049,26773,22874,"Mar_2022","PBS","WD","PBS","WD"
1.75523497037047,38,38,6.561547232,38,"HF5966","MMF.16S.211_HF5966","2050","WD-PBS-PBS","WD","4D","pre-abx",49,-3,-3,NA,"A2","C4",10490,8781,7782,"Mar_2022","PBS","WD","PBS","WD"
2.40843613164346,105,105,10.224548549,105,"HF5967","MMF.16S.211_HF5967","2037","WD-WD","WD","4E","pre-abx",49,-3,-3,NA,"A2","C4",33123,26312,23085,"Mar_2022","ABX","WD","WD","WD"
2.45638918098075,81,81,9.698648305,81,"HF5969","MMF.16S.211_HF5969","2039","WD-DIET","WD","4E","pre-abx",49,-3,-3,NA,"A2","C4",25116,20399,18497,"Mar_2022","ABX","RC","WD","WD"
2.1382317693255,34,34,6.51446489,34,"HF5970","MMF.16S.211_HF5970","2036","WD-RC","WD","4E","pre-abx",49,-3,-3,NA,"A2","C4",13256,11123,9450,"Mar_2022","ABX","RC","RC","WD"
2.59152602968228,71,71.3333333333333,8.397202795,71,"HF5971","MMF.16S.211_HF5971","2051","WD-ABX-PBS","WD","4F","pre-abx",49,-3,-3,NA,"A2","C4",12613,10967,9191,"Mar_2022","ABX","WD","PBS","WD"
