SampleID,Day,Mouse,Cage,Desc,Type,Type.adj,Type.adj2,meanCFUpg_LB,Cohort,Cohort2,Treatment,Diet,Abx,infect,hpi
ST1897,69,7651,6239069,t=72,fecal,fecal,fecal,19083.97,8,8,RC-PBS-INF,RC,PBS,INF,72
ST1898,69,7652,6239069,t=72,fecal,fecal,fecal,4355.401,8,8,RC-PBS-INF,RC,PBS,INF,72
ST1899,69,7653,6239069,t=72,fecal,fecal,fecal,347985.3,8,8,RC-PBS-INF,RC,PBS,INF,72
ST1900,69,7654,6239069,t=72,fecal,fecal,fecal,35211.27,8,8,RC-PBS-INF,RC,PBS,INF,72
ST1901,69,7647,6239070,t=72,fecal,fecal,fecal,2957317,8,8,RC-ABX-INF,RC,ABX,INF,72
ST1902,69,7648,6239070,t=72,fecal,fecal,fecal,13020.83,8,8,RC-ABX-INF,RC,ABX,INF,72
ST1903,69,7649,6239070,t=72,fecal,fecal,fecal,9.33E+11,8,8,RC-ABX-INF,RC,ABX,INF,72
ST1904,69,7650,6239070,t=72,fecal,fecal,fecal,0,8,8,RC-ABX-INF,RC,ABX,INF,72
ST1905,69,7639,6239072,t=72,fecal,fecal,fecal,1.51E+08,8,8,WD-PBS-INF,WD,PBS,INF,72
ST1906,69,7640,6239072,t=72,fecal,fecal,fecal,4.58E+10,8,8,WD-PBS-INF,WD,PBS,INF,72
ST1908,69,7642,6239072,t=72,fecal,fecal,fecal,2.21E+07,8,8,WD-PBS-INF,WD,PBS,INF,72
ST1909,69,7643,6239071,t=72,fecal,fecal,fecal,2.21E+12,8,8,WD-ABX-INF,WD,ABX,INF,72
